epoch,loss,r0,theta0,phi0,omega,v_r0
0,35634.86328125,540.0,0.8726646259971648,3.839724354387525,4e-12,0.0
1,35634.86328125,690.0,1.1726646423339844,3.539724349975586,4.004999890755423e-12,-0.30000004172325134
2,27114.27734375,812.0841674804688,1.2173616886138916,3.6186699867248535,4.009249095909828e-12,-0.09572511911392212
3,31678.318359375,938.5618896484375,1.1665319204330444,3.754822254180908,4.013760677989975e-12,0.14356428384780884
4,31422.96875,1055.4547119140625,1.115610957145691,3.864525079727173,4.018019424123498e-12,0.35059165954589844
5,31941.609375,1160.515625,1.124370813369751,3.911879777908325,4.02162764895353e-12,0.5850873589515686
6,32102.337890625,1255.6968994140625,1.1625494956970215,3.909569263458252,4.0247020126338295e-12,0.8393765687942505
7,32738.50390625,1288.4627685546875,1.0995080471038818,3.8493895530700684,4.023329846364332e-12,1.0749495029449463
8,32932.19921875,1321.5791015625,1.0526350736618042,3.7906715869903564,4.022113805207672e-12,1.307098150253296
9,33287.69140625,1356.92724609375,0.9820181727409363,3.757425546646118,4.021172284041086e-12,1.548500657081604
10,33082.96484375,1391.8253173828125,0.8783795833587646,3.7592761516571045,4.0202932129196345e-12,1.8050659894943237
11,32238.072265625,1426.0447998046875,0.7752251625061035,3.750640869140625,4.019530801951943e-12,2.076611042022705
12,31724.513671875,1461.5277099609375,0.7181733250617981,3.745939016342163,4.018923215054482e-12,2.3600142002105713
13,31568.63671875,1494.27685546875,0.7347626090049744,3.744562864303589,4.018157334639838e-12,2.6535801887512207
14,31612.943359375,1525.63330078125,0.7724575996398926,3.7739205360412598,4.0173038506896575e-12,2.955878496170044
15,31057.083984375,1554.4937744140625,0.7814514636993408,3.8439040184020996,4.016305083648364e-12,3.265868663787842
16,30294.103515625,1580.6529541015625,0.7547935247421265,3.949685573577881,4.015161033515957e-12,3.5827901363372803
17,29220.216796875,1604.468994140625,0.7282162308692932,4.080183506011963,4.013904660038481e-12,3.906092405319214
18,28149.029296875,1626.2900390625,0.7545903325080872,4.223728656768799,4.012573693451538e-12,4.235339641571045
19,26828.89453125,1637.0587158203125,0.85362708568573,4.306543827056885,4.0107188403748495e-12,4.570257186889648
20,25519.708984375,1646.7183837890625,0.9025885462760925,4.409178733825684,4.008893043916384e-12,4.909454822540283
21,24892.734375,1656.9852294921875,0.8709813356399536,4.530529022216797,4.007225540975101e-12,5.0
22,24586.63671875,1668.3868408203125,0.7729299664497375,4.651937007904053,4.005769240617019e-12,5.0
23,35379.20703125,1635.9307861328125,0.8051449060440063,4.528256893157959,4.002968963245923e-12,5.0
24,24118.576171875,1605.8759765625,0.8330137729644775,4.412547588348389,4.000341290860687e-12,5.0
25,24151.052734375,1580.523681640625,0.8310794830322266,4.316488742828369,3.997961683932516e-12,5.0
26,24158.951171875,1558.7711181640625,0.8135887384414673,4.239542007446289,3.9957594524797635e-12,5.0
27,24219.375,1539.333740234375,0.7973399758338928,4.179426193237305,3.9936608707547006e-12,5.0
28,24322.8671875,1518.9913330078125,0.7997894287109375,4.130138874053955,3.991508078921013e-12,5.0
29,24404.232421875,1499.9447021484375,0.8115942478179932,4.095945358276367,3.9893973541316186e-12,5.0
30,24463.37109375,1483.3543701171875,0.8239791393280029,4.07895040512085,3.9873785696864505e-12,5.0
31,24480.42578125,1469.2841796875,0.831919252872467,4.078859806060791,3.985453460308985e-12,5.0
32,24435.630859375,1457.14794921875,0.8355592489242554,4.093228340148926,3.983597739870559e-12,5.0
33,24533.828125,1450.08935546875,0.8260586857795715,4.124914169311523,3.981957558824023e-12,5.0
34,24337.7109375,1445.436279296875,0.8138865232467651,4.1684770584106445,3.98041105284519e-12,5.0
35,24200.677734375,1439.39208984375,0.8151624798774719,4.215712547302246,3.978792122161234e-12,5.0
36,24130.333984375,1433.783447265625,0.8225328326225281,4.267947196960449,3.977186201903349e-12,5.0
37,24029.697265625,1425.825927734375,0.8449069261550903,4.317808151245117,3.975480101364726e-12,5.0
38,23948.478515625,1418.3017578125,0.8598243594169617,4.36738920211792,3.973809128976491e-12,5.0
39,24013.142578125,1413.0914306640625,0.8502678275108337,4.419326305389404,3.972256117784623e-12,5.0
40,23973.24609375,1409.265869140625,0.8244248628616333,4.467971324920654,3.970792878532636e-12,5.0
41,23948.27734375,1406.291015625,0.7935246825218201,4.5120368003845215,3.969391655644916e-12,5.0
42,24691.36328125,1460.8145751953125,0.7091171145439148,4.558105945587158,3.970516623819087e-12,5.0
43,39490.76171875,1567.484375,0.8932737112045288,4.755052089691162,3.973945304769355e-12,5.0
44,32445.23046875,1674.5977783203125,1.148592472076416,4.8449249267578125,3.977180130371183e-12,5.0
45,38108.6640625,1752.6558837890625,1.3761824369430542,4.83900785446167,3.979124755387753e-12,5.0
46,37735.58203125,1809.4375,1.583878993988037,4.773553371429443,3.980163421068994e-12,5.0
47,36286.28515625,1855.2501220703125,1.7670884132385254,4.686585903167725,3.980812207649009e-12,5.0
48,41948.2890625,1902.251708984375,1.9145350456237793,4.633284568786621,3.981666125280059e-12,5.0
49,51780.34375,1956.807861328125,2.022691249847412,4.645652770996094,3.983031352655653e-12,5.0
50,70868.5390625,2023.237060546875,2.086750030517578,4.751970291137695,3.9850601117608075e-12,5.0
